,solar_result,3시간기온,강수형태,강수확률,습도,풍속,풍향,하늘상태,altitude,azimuth,altitude_m,azimuth_m
2017060721,0.0,21.0,0.0,10.0,65.0,3.1,286.0,2.0,0.0,0.0,-18.47884846644029,316.2134483511251
2017060722,0.0,20.666666666666668,0.0,10.0,66.66666666666667,2.7,275.6666666666667,2.0,0.0,0.0,-25.905379269347986,328.94157235787293
2017060723,0.0,20.333333333333332,0.0,10.0,68.33333333333333,2.3,265.3333333333333,2.0,0.0,0.0,-30.815716154454883,343.7570567144922
2017060800,0.0,20.0,0.0,10.0,70.0,1.9,255.0,2.0,0.0,0.0,-32.54714084318941,7.725862016503749e-15
2017060801,0.0,20.166666666666668,0.0,11.666666666666666,68.33333333333333,1.9666666666666666,256.3333333333333,2.1666666666666665,0.0,0.0,-30.815716154454883,16.24294328550779
2017060802,0.0,20.333333333333332,0.0,13.333333333333334,66.66666666666667,2.033333333333333,257.6666666666667,2.3333333333333335,0.0,0.0,-25.905379269347986,31.058427642127043
2017060803,0.0,20.5,0.0,15.0,65.0,2.0999999999999996,259.0,2.5,0.0,0.0,-18.47884846644029,43.7865516488749
2017060804,0.0,20.666666666666668,0.0,16.666666666666668,63.333333333333336,2.1666666666666665,260.3333333333333,2.6666666666666665,0.0,0.0,-9.245005080701288,54.52547864902252
2017060805,0.0,20.833333333333332,0.0,18.333333333333336,61.666666666666664,2.2333333333333334,261.6666666666667,2.833333333333333,0.0,0.0,1.2237238608253693,116.26956760060659
2017060806,4.08,21.0,0.0,20.0,60.0,2.3,263.0,3.0,11.075,22.8325,12.514125266014089,108.06050359593044
2017060807,35.04,22.333333333333332,0.0,20.0,56.666666666666664,2.6333333333333333,265.3333333333333,3.0,22.15,45.665,24.33079816444587,100.29337257044871
2017060808,73.2,23.666666666666668,0.0,20.0,53.333333333333336,2.9666666666666663,267.6666666666667,3.0,33.224999999999994,68.4975,36.44259597031463,92.31604469528673
2017060809,107.28,25.0,0.0,20.0,50.0,3.3,270.0,3.0,44.3,91.33,48.617683652171316,96.89730147584196
2017060810,128.64,25.333333333333332,0.0,20.0,50.0,3.433333333333333,260.6666666666667,3.0,55.01,113.00666666666667,60.48733590219946,109.60037842039965
2017060811,140.88,25.666666666666668,0.0,20.0,50.0,3.566666666666667,251.33333333333334,3.0,65.72,134.68333333333334,71.02121317232519,132.3837927266256
2017060812,142.8,26.0,0.0,20.0,50.0,3.7,242.0,3.0,76.43,156.36,76.2528591568106,180.0
