 format: day,hour,forecast,value  location:97_74 Start : 20180201 
 4,1700,+7,280.000000 
 4,1700,+10,285.000000 
 4,1700,+13,288.000000 
 4,1700,+16,286.000000 
 4,1700,+19,284.000000 
 4,1700,+22,283.000000 
 4,1700,+25,284.000000 
 4,1700,+28,288.000000 
 4,1700,+31,281.000000 
 4,1700,+34,284.000000 
 4,1700,+37,285.000000 
 4,1700,+40,286.000000 
 4,1700,+43,289.000000 
 4,1700,+46,287.000000 
 4,2000,+4,285.000000 
 4,2000,+7,284.000000 
 4,2000,+10,291.000000 
 4,2000,+13,291.000000 
 4,2000,+16,288.000000 
 4,2000,+19,281.000000 
 4,2000,+22,283.000000 
 4,2000,+25,288.000000 
 4,2000,+28,282.000000 
 4,2000,+31,285.000000 
 4,2000,+34,289.000000 
 4,2000,+37,287.000000 
 4,2000,+40,291.000000 
 4,2000,+43,290.000000 
 4,2000,+46,288.000000 
 4,2000,+49,293.000000 
 4,2000,+52,293.000000 
 4,2000,+55,292.000000 
 4,2000,+58,293.000000 
 4,2000,+61,284.000000 
 4,2000,+64,283.000000 
 4,2000,+67,264.000000 
 4,2300,+4,284.000000 
 4,2300,+7,291.000000 
 4,2300,+10,291.000000 
 4,2300,+13,288.000000 
 4,2300,+16,281.000000 
 4,2300,+19,283.000000 
 4,2300,+22,288.000000 
 4,2300,+25,282.000000 
 4,2300,+28,285.000000 
 4,2300,+31,289.000000 
 4,2300,+34,287.000000 
 4,2300,+37,291.000000 
 4,2300,+40,290.000000 
 4,2300,+43,288.000000 
 4,2300,+46,293.000000 
 4,2300,+49,293.000000 
 4,2300,+52,292.000000 
 4,2300,+55,293.000000 
 4,2300,+58,284.000000 
 4,2300,+61,283.000000 
 4,2300,+64,264.000000 
 5,0200,+4,291.000000 
 5,0200,+7,291.000000 
 5,0200,+10,288.000000 
 5,0200,+13,281.000000 
 5,0200,+16,283.000000 
 5,0200,+19,288.000000 
 5,0200,+22,282.000000 
 5,0200,+25,285.000000 
 5,0200,+28,289.000000 
 5,0200,+31,287.000000 
 5,0200,+34,291.000000 
 5,0200,+37,290.000000 
 5,0200,+40,288.000000 
 5,0200,+43,293.000000 
 5,0200,+46,293.000000 
 5,0200,+49,292.000000 
 5,0200,+52,293.000000 
 5,0200,+55,284.000000 
 5,0200,+58,283.000000 
 5,0200,+61,264.000000 
 5,0500,+4,291.000000 
 5,0500,+7,288.000000 
 5,0500,+10,281.000000 
 5,0500,+13,283.000000 
 5,0500,+16,288.000000 
 5,0500,+19,282.000000 
 5,0500,+22,285.000000 
 5,0500,+25,289.000000 
 5,0500,+28,287.000000 
 5,0500,+31,291.000000 
 5,0500,+34,290.000000 
 5,0500,+37,288.000000 
 5,0500,+40,293.000000 
 5,0500,+43,293.000000 
 5,0500,+46,292.000000 
 5,0500,+49,293.000000 
 5,0500,+52,284.000000 
 5,0500,+55,283.000000 
 5,0500,+58,264.000000 
 5,0800,+4,281.000000 
 5,0800,+7,288.000000 
 5,0800,+10,288.000000 
 5,0800,+13,289.000000 
 5,0800,+16,290.000000 
 5,0800,+19,286.000000 
 5,0800,+22,288.000000 
 5,0800,+25,286.000000 
 5,0800,+28,288.000000 
 5,0800,+31,291.000000 
 5,0800,+34,288.000000 
 5,0800,+37,293.000000 
 5,0800,+40,294.000000 
 5,0800,+43,293.000000 
 5,0800,+46,293.000000 
 5,0800,+49,295.000000 
 5,0800,+52,286.000000 
 5,0800,+55,270.000000 
 5,1100,+4,288.000000 
 5,1100,+7,288.000000 
 5,1100,+10,289.000000 
 5,1100,+13,290.000000 
 5,1100,+16,286.000000 
 5,1100,+19,288.000000 
 5,1100,+22,286.000000 
 5,1100,+25,288.000000 
 5,1100,+28,291.000000 
 5,1100,+31,288.000000 
 5,1100,+34,293.000000 
 5,1100,+37,294.000000 
 5,1100,+40,293.000000 
 5,1100,+43,293.000000 
 5,1100,+46,295.000000 
 5,1100,+49,286.000000 
 5,1100,+52,270.000000 
