 format: day,hour,forecast,value  location:97_74 Start : 20190101 
 6,0800,+4,338.000000 
 6,0800,+7,319.000000 
 6,0800,+10,319.000000 
 6,0800,+13,308.000000 
 6,0800,+16,300.000000 
 6,0800,+19,307.000000 
 6,0800,+22,317.000000 
 6,0800,+25,314.000000 
 6,0800,+28,313.000000 
 6,0800,+31,321.000000 
 6,0800,+34,310.000000 
 6,0800,+37,323.000000 
 6,0800,+40,298.000000 
 6,0800,+43,296.000000 
 6,0800,+46,307.000000 
 6,0800,+49,302.000000 
 6,0800,+52,303.000000 
 6,0800,+55,311.000000 
 6,1100,+4,319.000000 
 6,1100,+7,319.000000 
 6,1100,+10,308.000000 
 6,1100,+13,300.000000 
 6,1100,+16,307.000000 
 6,1100,+19,317.000000 
 6,1100,+22,314.000000 
 6,1100,+25,313.000000 
 6,1100,+28,321.000000 
 6,1100,+31,310.000000 
 6,1100,+34,323.000000 
 6,1100,+37,298.000000 
 6,1100,+40,296.000000 
 6,1100,+43,307.000000 
 6,1100,+46,302.000000 
 6,1100,+49,303.000000 
 6,1100,+52,311.000000 
 6,1400,+4,319.000000 
 6,1400,+7,308.000000 
 6,1400,+10,300.000000 
 6,1400,+13,307.000000 
 6,1400,+16,317.000000 
 6,1400,+19,314.000000 
 6,1400,+22,313.000000 
 6,1400,+25,321.000000 
 6,1400,+28,310.000000 
 6,1400,+31,323.000000 
 6,1400,+34,298.000000 
 6,1400,+37,296.000000 
 6,1400,+40,307.000000 
 6,1400,+43,302.000000 
 6,1400,+46,303.000000 
 6,1400,+49,311.000000 
 6,1700,+4,308.000000 
 6,1700,+7,300.000000 
 6,1700,+10,307.000000 
 6,1700,+13,317.000000 
 6,1700,+16,314.000000 
 6,1700,+19,313.000000 
 6,1700,+22,321.000000 
 6,1700,+25,310.000000 
 6,1700,+28,323.000000 
 6,1700,+31,298.000000 
 6,1700,+34,296.000000 
 6,1700,+37,307.000000 
 6,1700,+40,302.000000 
 6,1700,+43,303.000000 
 6,1700,+46,311.000000 
 6,2000,+4,299.000000 
 6,2000,+7,306.000000 
 6,2000,+10,316.000000 
 6,2000,+13,333.000000 
 6,2000,+16,323.000000 
 6,2000,+19,316.000000 
 6,2000,+22,306.000000 
 6,2000,+25,313.000000 
 6,2000,+28,313.000000 
 6,2000,+31,312.000000 
 6,2000,+34,306.000000 
 6,2000,+37,304.000000 
 6,2000,+40,313.000000 
 6,2000,+43,303.000000 
 6,2000,+46,327.000000 
 6,2000,+49,332.000000 
 6,2000,+52,308.000000 
 6,2000,+55,317.000000 
 6,2000,+58,322.000000 
 6,2000,+61,308.000000 
 6,2000,+64,295.000000 
 6,2000,+67,287.000000 
 6,2300,+4,306.000000 
 6,2300,+7,316.000000 
 6,2300,+10,333.000000 
 6,2300,+13,323.000000 
 6,2300,+16,316.000000 
 6,2300,+19,306.000000 
 6,2300,+22,313.000000 
 6,2300,+25,313.000000 
 6,2300,+28,312.000000 
 6,2300,+31,306.000000 
 6,2300,+34,304.000000 
 6,2300,+37,313.000000 
 6,2300,+40,303.000000 
 6,2300,+43,327.000000 
 6,2300,+46,332.000000 
 6,2300,+49,308.000000 
 6,2300,+52,317.000000 
 6,2300,+55,322.000000 
 6,2300,+58,308.000000 
 6,2300,+61,295.000000 
 6,2300,+64,287.000000 
 7,0200,+4,316.000000 
 7,0200,+7,333.000000 
 7,0200,+10,323.000000 
 7,0200,+13,316.000000 
 7,0200,+16,306.000000 
 7,0200,+19,313.000000 
 7,0200,+22,313.000000 
 7,0200,+25,312.000000 
 7,0200,+28,306.000000 
 7,0200,+31,304.000000 
 7,0200,+34,313.000000 
 7,0200,+37,303.000000 
 7,0200,+40,327.000000 
 7,0200,+43,332.000000 
 7,0200,+46,308.000000 
 7,0200,+49,317.000000 
 7,0200,+52,322.000000 
 7,0200,+55,308.000000 
 7,0200,+58,295.000000 
 7,0200,+61,287.000000 
 7,0500,+4,333.000000 
 7,0500,+7,323.000000 
 7,0500,+10,316.000000 
 7,0500,+13,306.000000 
 7,0500,+16,313.000000 
 7,0500,+19,313.000000 
 7,0500,+22,312.000000 
 7,0500,+25,306.000000 
 7,0500,+28,304.000000 
 7,0500,+31,313.000000 
 7,0500,+34,303.000000 
 7,0500,+37,327.000000 
 7,0500,+40,332.000000 
 7,0500,+43,308.000000 
 7,0500,+46,317.000000 
 7,0500,+49,322.000000 
 7,0500,+52,308.000000 
